//material types for Day of Defeat
//
// Created by Masako on December 20, 2002
// Last Modified : 12/20/02 by Masako
//
//  'C' concrete (Concrete is the default)
//  'M' metal
//  'G' Grate/ventilation (Removed V for Ventilation)
//  'D' dirt
//  'T' tile
//  'W' wood
//  'P' grass
//  'Y' glass
//  'S' water
//  'R' rock
//  'A' sand
//  'L' gravel
//  'E' leaves, bushes 
//  'N' snow
//  'F' flesh (Used in anzio meat rack)
//  'B' brick 
//  'Z' stucco 
//  'H' heavy metal ( dod_charlie, hedgehogs )
//  'K' sky

//Mugsy's test textures
M METAL_WALL04
G GRATE1
D OUT_DIRT1
T FIFTIES_F01
W TRRM_WOOD 
P OUT_GRSS1
Y GLASSBLUE1
S !WATERBLUE
R OUT_RK5
A OUT_SND2B
L OUT_SND2C
E C3A2B_REAC
N WHITE
F C3A2SIGN00
B WET_WALL05
Z FIFTIES_WALL03

S !C2A53
S !K_STUFF
S !K_WATER2B
S !K2_DONNERWATER
S !K2_WTR1
S !OUITZ_WATER3
S !WATER2
S !WATERGREEN
F {APPESI1
F {APPESI2
M {AVALADDER
M {BALCONE
E {BIDO_HANG
H {C0WHOGZ
M {CAILADDER
E {CAMO_NETTING2
M {CANCELLO
W {CANTINA1
W {CANTINA2
W {CARDGAME
M {CHAIN
M {CXGATE
E {CXIVYB
P {DMCGRASSB
W {DOOR
W {EASTLINE1
W {EASTLINE2
W {EASTLINE3
W {EASTRAIL1
Y {EASTWNDWN2
E {FARMEDGE
Y {FD_FACTORYWIN3
M {FD_FANBLADE
M {FD_FENCE
Y {FD_GLIDERWIN
Z {FD_KAMI6
W {FD_KAMIDOOR9B
M {FD_LADDER3
M {FD_MOON
M {FD_PIPE_BROKE
M {FD_PIPES1
W {FENCE2
W {FENCE3
W {FLAG3
E {FLASH2_HEDGE
E {FLASH2_TREE
E {FLASH2_TREE2
E {FLASH2_TREE3
P {FLO_GRASS
E {FOR_FOR01
E {FOR_FOR02
E {FOREST_TOL_XER
P {FORGRASS1
E {FORTOP1
E {FORTOP2
W {GLIDER1
E {GRASS2
E {GRASSPLZ
G {GRATE2
G {GRATE2A
G {GRATE3A
G {GRATE4A
G {GRATESTEP1
G {GRATESTEP2
G {GRID2
W {HANGING
E {HANGINGIVY1
E {HANGINGIVY2
E {HEDGE2
M {INW_RADAR1
M {INW_RADAR2
Y {IR_NWINDOW2
M {IR_NWIREZ
Y {IR_PEWPWINDOW
M {IR_THINGY
M {IR_WIREZ2
E {IZ_WEEDS2
M {K_BARB1
M {K_BARS1
M {K_BED1B
W {K_BOARDS1
M {K_ENFORCEWIRE1
M {K_ENFORCEWIRE3
E {K_HEDGE1
E {K_HEDGE2
M {K_LADDER2
M {K_LADDER3
W {K_LATTACE1
W {K_LATTACE2
E {K_OUTLINE1
E {K_OUTLINE2B
E {K_OUTLINE4
E {K_OUTLINE5
E {K_OUTLINE6
M {K_RAILING2
M {K_RAILING4
M {K_RAILING5
M {K_RAILING5B
E {K_TREE7C
E {K_TREE8
Y {K_WINDOW11
Y {K_WINDOW4B
Y {K_WINDOW6
Y {K_WINDOW7CT
E {K2_BUSH1
W {K2_FENCET1B
E {KL_BLAH1D3B
M {KL_CORRBROKE1
